index,id,grid,base,odd,category,diffType,difficulty,platformRisk,shuffleSeed,notes
1,L-001,3x3,🐶,🐱,animals,category,1,low,1001,"Tutorial-friendly dog vs cat"
2,L-002,3x3,🍎,🍌,food,category,1,low,1002,"Clear fruit contrast"
3,L-003,3x3,🐰,🦊,animals,category,1,low,1003,"Rabbit vs fox"
4,L-004,3x3,👍,👎,gestures,opposite,1,low,1004,"Opposite thumbs; high contrast"
5,L-005,3x3,🍕,🍔,food,category,1,low,1005,"Pizza vs burger"
6,L-006,3x3,🐸,🐢,animals,category,1,low,1006,"Frog vs turtle"
7,L-007,3x3,🍇,🍉,food,category,1,low,1007,"Grapes vs watermelon"
8,L-008,3x3,👋,👏,gestures,category,1,low,1008,"Wave vs clap"
9,L-009,3x3,🦁,🐷,animals,category,1,low,1009,"Lion vs pig; very distinct"
10,L-010,3x3,🍩,🍦,food,category,1,low,1010,"Donut vs ice cream"
11,L-011,3x3,🍎,🍏,food,color_variant,2,medium,1011,"Red vs green apple; color-dependent"
12,L-012,3x3,🐔,🐣,animals,state_variant,2,low,1012,"Chicken vs chick"
13,L-013,3x3,🍊,🍋,food,category,2,low,1013,"Orange vs lemon"
14,L-014,3x3,🐴,🦄,animals,category,2,low,1014,"Horse vs unicorn"
15,L-015,3x3,✋,🤚,gestures,lookalike,2,medium,1015,"Palm front vs back"
16,L-016,4x4,🐻,🐼,animals,lookalike,2,low,1016,"Bear vs panda; first 4x4"
17,L-017,4x4,🥐,🍞,food,lookalike,2,low,1017,"Croissant vs bread"
18,L-018,4x4,🐙,🦑,animals,lookalike,2,medium,1018,"Octopus vs squid"
19,L-019,4x4,🍪,🍩,food,lookalike,2,low,1019,"Cookie vs donut"
20,L-020,4x4,✊,👊,gestures,lookalike,2,medium,1020,"Raised fist vs oncoming fist"
21,L-021,4x4,🐮,🐃,animals,lookalike,3,medium,1021,"Cow vs water buffalo"
22,L-022,4x4,🧀,🧈,food,lookalike,3,medium,1022,"Cheese vs butter"
23,L-023,4x4,🐧,🐤,animals,lookalike,3,medium,1023,"Penguin vs chick"
24,L-024,4x4,🌮,🌯,food,lookalike,2,medium,1024,"Taco vs burrito"
25,L-025,4x4,✌️,🤟,gestures,lookalike,2,medium,1025,"Victory vs love-you gesture"
26,L-026,4x4,🐼,🐨,animals,lookalike,3,medium,1026,"Classic lookalike pair"
27,L-027,4x4,🍓,🍒,food,lookalike,3,medium,1027,"Strawberry vs cherries"
28,L-028,4x4,🐯,🦁,animals,lookalike,3,low,1028,"Tiger vs lion"
29,L-029,4x4,🥑,🥒,food,lookalike,3,medium,1029,"Avocado vs cucumber; green trap"
30,L-030,4x4,👌,🤏,gestures,lookalike,3,medium,1030,"OK vs pinching hand"
31,L-031,4x4,🐭,🐹,animals,lookalike,3,high,1031,"Mouse vs hamster; verify on Android"
32,L-032,4x4,🥖,🥨,food,lookalike,3,low,1032,"Baguette vs pretzel"
33,L-033,4x4,🐺,🐶,animals,lookalike,3,medium,1033,"Wolf vs dog"
34,L-034,4x4,🥦,🥬,food,lookalike,3,medium,1034,"Broccoli vs leafy green"
35,L-035,4x4,🖐️,🖖,gestures,lookalike,3,medium,1035,"Hand vs vulcan salute"
36,L-036,4x4,🦉,🦅,animals,lookalike,4,medium,1036,"Owl vs eagle"
37,L-037,4x4,🍑,🍊,food,lookalike,3,medium,1037,"Peach vs orange; round orange fruits"
38,L-038,4x4,🦀,🦞,animals,lookalike,3,medium,1038,"Crab vs lobster"
39,L-039,4x4,🧁,🍰,food,lookalike,3,low,1039,"Cupcake vs cake slice"
40,L-040,4x4,🤞,✌️,gestures,lookalike,4,high,1040,"Crossed fingers vs victory; easy to miss"
41,L-041,4x4,🐪,🐫,animals,lookalike,4,medium,1041,"One-hump vs two-hump camel"
42,L-042,4x4,🍈,🍉,food,lookalike,4,high,1042,"Melon vs watermelon; platform shapes vary"
43,L-043,4x4,🦈,🐬,animals,lookalike,4,medium,1043,"Shark vs dolphin"
44,L-044,4x4,🧄,🧅,food,lookalike,4,high,1044,"Garlic vs onion; very similar on some OS"
45,L-045,4x4,👈,👉,gestures,direction,4,low,1045,"Left vs right point; direction scan"
46,L-046,4x4,🐆,🐅,animals,lookalike,4,high,1046,"Leopard vs tiger; spotted vs striped"
47,L-047,4x4,🥝,🍈,food,lookalike,4,medium,1047,"Kiwi vs melon; green round fruits"
48,L-048,4x4,🐝,🪲,animals,lookalike,4,medium,1048,"Bee vs beetle"
49,L-049,4x4,🥞,🧇,food,lookalike,4,medium,1049,"Pancakes vs waffle"
50,L-050,5x5,👆,☝️,gestures,lookalike,5,high,1050,"Backhand up vs index up"
51,L-051,5x5,🦢,🦆,animals,lookalike,4,medium,1051,"Swan vs duck"
52,L-052,5x5,🫐,🍇,food,lookalike,4,medium,1052,"Blueberries vs grapes"
53,L-053,5x5,🦓,🐴,animals,lookalike,4,low,1053,"Zebra vs horse"
54,L-054,5x5,🌽,🌾,food,lookalike,5,medium,1054,"Corn vs sheaf of rice"
55,L-055,5x5,🤏,👌,gestures,lookalike,5,medium,1055,"Reverse of L-030; denser grid"
56,L-056,5x5,🦎,🐊,animals,lookalike,5,medium,1056,"Lizard vs crocodile"
57,L-057,5x5,🥭,🍑,food,lookalike,5,high,1057,"Mango vs peach; round warm fruits"
58,L-058,5x5,🦒,🦌,animals,lookalike,5,medium,1058,"Giraffe vs deer"
59,L-059,5x5,🍙,🍘,food,lookalike,5,high,1059,"Onigiri vs rice cracker"
60,L-060,5x5,🖖,🖐️,gestures,lookalike,5,medium,1060,"Reverse of L-035"
61,L-061,5x5,🦏,🦛,animals,lookalike,5,medium,1061,"Rhino vs hippo"
62,L-062,5x5,🫒,🥑,food,lookalike,5,high,1062,"Olive vs avocado; green ovals"
63,L-063,5x5,🐿️,🦫,animals,lookalike,5,high,1063,"Chipmunk vs beaver; furry brown"
64,L-064,5x5,🍜,🍲,food,lookalike,5,medium,1064,"Ramen vs pot of food"
65,L-065,5x5,👊,✊,gestures,lookalike,5,medium,1065,"Reverse of L-020; denser"
66,L-066,5x5,🦭,🐋,animals,lookalike,5,medium,1066,"Seal vs whale; late-game animals"
67,L-067,5x5,🧈,🧀,food,lookalike,5,medium,1067,"Butter vs cheese; yellow blocks"
68,L-068,5x5,👈,👉,gestures,direction,6,low,1068,"Left vs right in 5x5; direction scan under time"
69,L-069,5x5,🦩,🦚,animals,lookalike,6,medium,1069,"Flamingo vs peacock"
70,L-070,5x5,🍲,🍛,food,lookalike,6,high,1070,"Stew vs curry; bowl foods"
71,L-071,5x5,🦔,🦨,animals,lookalike,6,high,1071,"Hedgehog vs skunk"
72,L-072,5x5,☝️,👆,gestures,lookalike,6,high,1072,"Index pointing up vs backhand up"
73,L-073,5x5,🦞,🦐,animals,lookalike,6,medium,1073,"Lobster vs shrimp"
74,L-074,5x5,🥪,🍞,food,lookalike,6,medium,1074,"Sandwich vs bread"
75,L-075,5x5,🤙,👌,gestures,lookalike,6,medium,1075,"Call-me vs OK"
76,L-076,5x5,🦘,🦙,animals,lookalike,6,medium,1076,"Kangaroo vs llama"
77,L-077,5x5,🧆,🥙,food,lookalike,6,high,1077,"Falafel vs stuffed flatbread"
78,L-078,5x5,🤚,✋,gestures,lookalike,6,high,1078,"Reverse of L-015; endgame density"
79,L-079,5x5,🦦,🦭,animals,lookalike,6,high,1079,"Otter vs seal; near-final boss warm-up"
80,L-080,5x5,✌️,🤞,gestures,lookalike,6,high,1080,"Boss: victory vs crossed fingers in 5x5"
81,L-081,5x5,😀,😃,faces,lookalike,5,high,2081,"Grinning vs big grin"
82,L-082,5x5,😌,☺️,faces,lookalike,5,high,2082,"Relieved vs smiling face"
83,L-083,5x5,😢,😭,faces,lookalike,5,medium,2083,"Cry vs sob"
84,L-084,5x5,😡,😠,faces,lookalike,6,high,2084,"Pouting vs angry"
85,L-085,5x5,😶,😐,faces,lookalike,6,high,2085,"No mouth vs neutral"
86,L-086,5x5,🚗,🚕,vehicles,lookalike,5,medium,2086,"Car vs taxi"
87,L-087,5x5,🚌,🚎,vehicles,lookalike,6,high,2087,"Bus vs trolleybus"
88,L-088,5x5,🚂,🚄,vehicles,lookalike,5,medium,2088,"Locomotive vs bullet train"
89,L-089,5x5,✈️,🛩️,vehicles,lookalike,6,medium,2089,"Airplane vs small plane"
90,L-090,5x5,⛵,🚢,vehicles,lookalike,5,medium,2090,"Sailboat vs ship"
91,L-091,5x5,🚲,🛴,vehicles,lookalike,5,medium,2091,"Bike vs scooter"
92,L-092,5x5,⚽,🏀,sports,lookalike,5,low,2092,"Soccer vs basketball"
93,L-093,5x5,🎾,🏐,sports,lookalike,5,medium,2093,"Tennis vs volleyball"
94,L-094,5x5,⚾,🥎,sports,lookalike,6,high,2094,"Baseball vs softball"
95,L-095,5x5,🥊,🥋,sports,lookalike,5,medium,2095,"Boxing vs martial arts"
96,L-096,5x5,☀️,🌤️,weather,lookalike,6,high,2096,"Sun vs sun behind cloud"
97,L-097,5x5,🌧️,🌦️,weather,lookalike,6,high,2097,"Rain vs sun/rain"
98,L-098,5x5,❄️,🌨️,weather,lookalike,6,high,2098,"Snowflake vs cloud snow"
99,L-099,5x5,🌙,🌛,weather,lookalike,6,high,2099,"Crescent vs face moon"
100,L-100,5x5,⭐,🌟,symbols,lookalike,5,medium,2100,"Star vs glowing star"
101,L-101,5x5,✨,💫,symbols,lookalike,6,medium,2101,"Sparkles vs dizzy"
102,L-102,5x5,❤️,🧡,symbols,color_variant,5,medium,2102,"Red vs orange heart"
103,L-103,5x5,💙,💜,symbols,color_variant,6,medium,2103,"Blue vs purple heart"
104,L-104,5x5,🔶,🔸,symbols,lookalike,7,high,2104,"Large vs small orange diamond"
105,L-105,5x5,📱,📲,objects,lookalike,6,high,2105,"Phone vs phone with arrow"
106,L-106,5x5,💻,🖥️,objects,lookalike,5,medium,2106,"Laptop vs desktop"
107,L-107,5x5,🔑,🗝️,objects,lookalike,6,high,2107,"Key vs old key"
108,L-108,5x5,✏️,✒️,objects,lookalike,6,high,2108,"Pencil vs nib"
109,L-109,5x5,⏰,⏱️,objects,lookalike,6,high,2109,"Alarm vs stopwatch"
110,L-110,5x5,📗,📘,objects,color_variant,6,medium,2110,"Green vs blue book"
111,L-111,5x5,👟,👞,clothing,lookalike,6,medium,2111,"Sneaker vs shoe"
112,L-112,5x5,👒,🎩,clothing,lookalike,5,low,2112,"Sun hat vs top hat"
113,L-113,5x5,👓,🕶️,clothing,lookalike,6,high,2113,"Glasses vs sunglasses"
114,L-114,5x5,👕,👚,clothing,lookalike,6,high,2114,"T-shirt vs blouse"
115,L-115,5x5,🌷,🌹,nature,lookalike,5,medium,2115,"Tulip vs rose"
116,L-116,5x5,🌲,🌳,nature,lookalike,6,high,2116,"Evergreen vs deciduous"
117,L-117,5x5,🍀,☘️,nature,lookalike,7,high,2117,"Four-leaf vs shamrock"
118,L-118,5x5,🌵,🌴,nature,lookalike,5,low,2118,"Cactus vs palm"
119,L-119,5x5,🏰,🏯,travel,lookalike,6,medium,2119,"Castle vs Japanese castle"
120,L-120,5x5,🏠,🏡,travel,lookalike,7,high,2120,"House vs house with garden"
